Japanese,Kana,Kanji,English,Genki Lesson,,,
あの,あの,,um...,1,,,
今,いま,今,now,1,,,
英語,えいご,英語,English (language),1,,,
学生,がくせい,学生,student,1,,,
〜語,〜ご,〜語,language,1,,,
高校,こうこう,高校,high school,1,,,
午後,ごご,午後,P.M.,1,,,
午前,ごぜん,午前,A.M.,1,,,
〜歳,〜さい,〜歳,...years old,1,,,
〜さん,〜さん,,Mr./Ms....,1,,,
〜時,〜じ,〜時,o'clock,1,,,
〜人,〜じん,〜人,people,1,,,
先生,せんせい,先生,teacher; Professor ...,1,,,
専門,せんもん,専門,major,1,,,
そうです,そうです,,That's right.,1,,,
大学,だいがく,大学,college; university,1,,,
電話,でんわ,電話,telephone,1,,,
友達,ともだち,友達,friend,1,,,
名前,なまえ,名前,name,1,,,
何,なん／なに,何,what,1,,,
日本,にほん,日本,Japan,1,,,
〜年生,〜ねんせい,〜年生,...year student,1,,,
はい,はい,,yes,1,,,
半,はん,半,half,1,,,
番号,ばんごう,番号,number,1,,,
留学生,りゅうがくせい,留学生,international student,1,,,
私,わたし,私,I,1,,,
アメリカ,アメリカ,,U.S.A.,1,,,
イギリス,イギリス,,Britain,1,,,
オーストラリア,オーストラリア,,Australia,1,,,
韓国,かんこく,韓国,Korea,1,,,
スウェーデン,スウェーデン,,Sweden,1,,,
中国,ちゅうごく,中国,China,1,,,
科学,かがく,科学,science,1,,,
アジア研究,アジアけんきゅう,アジア研究,Asian studies,1,,,
国際関係,こくさいかんけい,国際関係,international relations,1,,,
コンピューター,コンピューター,,computer,1,,,
人類学,じんるいがく,人類学,anthropology,1,,,
政治,せいじ,政治,politics,1,,,
ビジネス,ビジネス,,business,1,,,
文学,ぶんがく,文学,literature,1,,,
歴史,れきし,歴史,history,1,,,
仕事,しごと,仕事,job; work; occupation,1,,,
医者,いしゃ,医者,doctor,1,,,
会社員,かいしゃいん,会社員,office worker,1,,,
高校生,こうこうせい,高校生,high school student,1,,,
主婦,しゅふ,主婦,housewife,1,,,
大学院生,だいがくいんせい,大学院生,graduate student,1,,,
大学生,だいがくせい,大学生,college student,1,,,
弁護士,べんごし,弁護士,lawyer,1,,,
お母さん,おかあさん,お母さん,mother,1,,,
お父さん,おとうさん,お父さん,father,1,,,
お姉さん,おねえさん,お姉さん,older sister,1,,,
お兄さん,おにいさん,お兄さん,older brother,1,,,
妹,いもうと,妹,younger sister,1,,,
弟,おとうと,弟,younger brother,1,,,
0,,,,,,,
これ,これ,,this one,2,,,
それ,それ,,that one,2,,,
あれ,あれ,,that one (over there),2,,,
どれ,どれ,,which one,2,,,
この,この,,this ...,2,,,
その,その,,that ...,2,,,
あの,あの,,that ... (over there),2,,,
どの,どの,,which ...,2,,,
あそこ,あそこ,,over there,2,,,
